,unrate,year,month
0,8.5,2009,1
1,8.9,2009,2
2,9.0,2009,3
3,8.6,2009,4
4,9.1,2009,5
5,9.7,2009,6
6,9.7,2009,7
7,9.6,2009,8
8,9.5,2009,9
9,9.5,2009,10
10,9.4,2009,11
11,9.7,2009,12
12,10.6,2010,1
13,10.4,2010,2
14,10.2,2010,3
15,9.5,2010,4
16,9.3,2010,5
17,9.6,2010,6
18,9.7,2010,7
19,9.5,2010,8
20,9.2,2010,9
21,9.0,2010,10
22,9.3,2010,11
23,9.1,2010,12
24,9.8,2011,1
25,9.5,2011,2
26,9.2,2011,3
27,8.7,2011,4
28,8.7,2011,5
29,9.3,2011,6
30,9.3,2011,7
31,9.1,2011,8
32,8.8,2011,9
33,8.5,2011,10
34,8.2,2011,11
35,8.3,2011,12
36,8.8,2012,1
37,8.7,2012,2
38,8.4,2012,3
39,7.7,2012,4
40,7.9,2012,5
41,8.4,2012,6
42,8.6,2012,7
43,8.2,2012,8
44,7.6,2012,9
45,7.5,2012,10
46,7.4,2012,11
47,7.6,2012,12
48,8.5,2013,1
49,8.1,2013,2
50,7.6,2013,3
51,7.1,2013,4
52,7.3,2013,5
53,7.8,2013,6
54,7.7,2013,7
55,7.3,2013,8
56,7.0,2013,9
57,7.0,2013,10
58,6.6,2013,11
59,6.5,2013,12
60,7.0,2014,1
61,7.0,2014,2
62,6.8,2014,3
63,5.9,2014,4
64,6.1,2014,5
65,6.3,2014,6
66,6.5,2014,7
67,6.3,2014,8
68,5.7,2014,9
69,5.5,2014,10
70,5.5,2014,11
71,5.4,2014,12
72,6.1,2015,1
73,5.8,2015,2
74,5.6,2015,3
75,5.1,2015,4
76,5.3,2015,5
77,5.5,2015,6
78,5.6,2015,7
79,5.2,2015,8
80,4.9,2015,9
81,4.8,2015,10
82,4.8,2015,11
83,4.8,2015,12
84,5.3,2016,1
85,5.2,2016,2
86,5.1,2016,3
87,4.7,2016,4
88,4.5,2016,5
89,5.1,2016,6
90,5.1,2016,7
91,5.0,2016,8
92,4.8,2016,9
93,4.7,2016,10
94,4.4,2016,11
95,4.5,2016,12
96,5.1,2017,1
97,4.9,2017,2
98,4.6,2017,3
99,4.1,2017,4
100,4.1,2017,5
101,4.5,2017,6
102,4.6,2017,7
103,4.5,2017,8
104,4.1,2017,9
105,3.9,2017,10
106,3.9,2017,11
107,3.9,2017,12
108,4.5,2018,1
109,4.4,2018,2
110,4.1,2018,3
111,3.7,2018,4
112,3.6,2018,5
113,4.2,2018,6
114,4.1,2018,7
115,3.9,2018,8
116,3.6,2018,9
117,3.5,2018,10
118,3.5,2018,11
119,3.7,2018,12
120,4.4,2019,1
121,4.1,2019,2
122,3.9,2019,3
123,3.3,2019,4
124,3.4,2019,5
125,3.8,2019,6
126,4.0,2019,7
127,3.8,2019,8
128,3.3,2019,9
129,3.3,2019,10
130,3.3,2019,11
131,3.4,2019,12
132,4.0,2020,1
133,3.8,2020,2
134,4.5,2020,3
135,14.4,2020,4
136,13.0,2020,5
137,11.2,2020,6
138,10.5,2020,7
139,8.5,2020,8
140,7.7,2020,9
141,6.6,2020,10
142,6.4,2020,11
143,6.5,2020,12
144,6.8,2021,1
145,6.6,2021,2
146,6.2,2021,3
147,5.7,2021,4
148,5.5,2021,5
149,6.1,2021,6
150,5.7,2021,7
151,5.3,2021,8
152,4.6,2021,9
153,4.3,2021,10
154,3.9,2021,11
